scenario_id,scenario_type,GeneSymbol,scenario_rank,scenario_score,formal_rank,in_formal_top30
exp_network_grid_exp_0.7826,experimental_network_weight_grid,PTPN11,17,0.5729231763788797,17.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,PTGS2,18,0.5665453431408353,18.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,ARG1,19,0.5644150713469377,19.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CD38,20,0.5633118732940596,20.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,MDM4,21,0.5564509677144265,21.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,MPO,22,0.5489044000990444,22.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,PRKDC,23,0.5471872594922461,23.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,GSK3B,24,0.546732393313697,24.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CCNB1,25,0.5460723991773655,25.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,G6PD,26,0.5410334575458308,26.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,MIF,27,0.5389438931568091,27.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,TBXAS1,28,0.5380934079736551,28.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,AURKB,29,0.5380161592896157,29.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,PIK3CG,30,0.5345711100494116,30.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CDK6,1,0.7914787628123321,1.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CA2,2,0.7726389114713917,2.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,HSP90AB1,3,0.7384418671878241,3.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,PARP1,4,0.6846163620321912,4.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,ACHE,5,0.6667020958937586,5.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,HIF1A,6,0.622646934349751,6.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,KIT,7,0.62198577790231,7.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CDK4,8,0.6044972543502503,8.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,APEX1,9,0.5969233944657679,10.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,HSP90AA1,10,0.595022234125829,13.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CDK2,11,0.5909187320479592,9.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,TOP2A,12,0.5870039721944686,12.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,SYK,13,0.585689303693397,11.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CHEK1,14,0.5787496352901462,14.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,PTPN11,15,0.5728383164062878,17.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,SIGMAR1,16,0.5709011471812906,15.0,True
