time_ns	protein_sasa_nm2	protein_sasa_output_group_nm2
5.83	327.992	327.992
5.84	322.513	322.513
5.85	329.49	329.49
5.86	324.622	324.622
5.87	329.343	329.343
5.88	325.875	325.875
5.89	330.233	330.233
5.9	328.606	328.606
5.91	327.699	327.699
5.92	330.478	330.478
5.93	327.83	327.83
5.94	327.211	327.211
5.95	331.365	331.365
5.96	326.937	326.937
5.97	333.025	333.025
5.98	328.785	328.785
5.99	329.529	329.529
6.0	327.62	327.62
6.01	327.596	327.596
6.02	327.102	327.102
6.03	327.169	327.169
6.04	328.013	328.013
6.05	330.116	330.116
6.06	332.742	332.742
6.07	331.942	331.942
6.08	331.273	331.273
6.09	334.995	334.995
6.1	332.523	332.523
6.11	329.715	329.715
6.12	331.53	331.53
6.13	326.192	326.192
6.14	326.066	326.066
6.15	331.431	331.431
6.16	332.361	332.361
6.17	328.618	328.618
6.18	328.727	328.727
6.19	333.701	333.701
6.2	328.704	328.704
6.21	325.237	325.237
6.22	331.207	331.207
6.23	327.277	327.277
6.24	325.347	325.347
6.25	327.981	327.981
6.26	329.417	329.417
6.27	326.256	326.256
6.28	327.674	327.674
6.29	325.2	325.2
6.3	324.219	324.219
6.31	327.95	327.95
6.32	328.435	328.435
6.33	326.664	326.664
6.34	326.877	326.877
6.35	324.473	324.473
6.36	324.158	324.158
6.37	326.504	326.504
6.38	329.332	329.332
6.39	327.778	327.778
6.4	325.947	325.947
6.41	325.773	325.773
6.42	330.617	330.617
6.43	326.327	326.327
6.44	328.205	328.205
6.45	327.339	327.339
6.46	324.998	324.998
6.47	327.789	327.789
6.48	329.294	329.294
6.49	330.183	330.183
6.5	324.177	324.177
6.51	328.292	328.292
6.52	329.209	329.209
6.53	327.867	327.867
6.54	326.237	326.237
6.55	330.659	330.659
6.56	328.742	328.742
6.57	323.158	323.158
6.58	324.103	324.103
6.59	321.972	321.972
6.6	327.403	327.403
6.61	321.534	321.534
6.62	324.65	324.65
6.63	322.566	322.566
6.64	325.823	325.823
6.65	323.81	323.81
6.66	324.588	324.588
6.67	329.874	329.874
6.68	325.141	325.141
6.69	328.764	328.764
6.7	325.213	325.213
6.71	331.875	331.875
6.72	326.6	326.6
6.73	325.304	325.304
6.74	323.843	323.843
6.75	322.678	322.678
6.76	322.92	322.92
6.77	320.786	320.786
6.78	324.846	324.846
6.79	327.138	327.138
6.8	324.91	324.91
6.81	330.031	330.031
6.82	326.316	326.316
6.83	328.399	328.399
6.84	324.515	324.515
6.85	327.714	327.714
6.86	325.535	325.535
6.87	327.069	327.069
6.88	325.347	325.347
6.89	328.829	328.829
6.9	330.12	330.12
6.91	328.443	328.443
6.92	325.991	325.991
6.93	323.599	323.599
6.94	325.731	325.731
6.95	325.779	325.779
6.96	326.979	326.979
6.97	323.244	323.244
6.98	325.986	325.986
6.99	325.574	325.574
7.0	329.878	329.878
7.01	327.946	327.946
7.02	329.161	329.161
7.03	326.928	326.928
7.04	331.927	331.927
7.05	324.528	324.528
7.06	326.438	326.438
7.07	324.161	324.161
7.08	322.857	322.857
7.09	321.818	321.818
7.1	325.277	325.277
7.11	322.595	322.595
7.12	328.465	328.465
7.13	325.844	325.844
7.14	323.484	323.484
7.15	326.719	326.719
7.16	328.503	328.503
7.17	328.504	328.504
7.18	326.195	326.195
7.19	321.813	321.813
7.2	325.398	325.398
7.21	322.303	322.303
7.22	326.414	326.414
7.23	329.131	329.131
7.24	325.888	325.888
7.25	329.226	329.226
7.26	327.942	327.942
7.27	329.115	329.115
7.28	331.313	331.313
7.29	330.353	330.353
7.3	326.37	326.37
7.31	325.445	325.445
7.32	327.666	327.666
7.33	326.447	326.447
7.34	322.027	322.027
7.35	326.223	326.223
7.36	326.28	326.28
7.37	330.762	330.762
7.38	328.416	328.416
7.39	328.162	328.162
7.4	324.59	324.59
7.41	326.901	326.901
7.42	325.734	325.734
7.43	326.651	326.651
7.44	328.386	328.386
7.45	329.86	329.86
7.46	325.65	325.65
7.47	327.502	327.502
7.48	326.068	326.068
7.49	329.112	329.112
7.5	326.235	326.235
7.51	330.236	330.236
7.52	329.032	329.032
7.53	331.337	331.337
7.54	327.27	327.27
7.55	331.782	331.782
7.56	329.35	329.35
7.57	331.443	331.443
7.58	330.17	330.17
7.59	326.772	326.772
7.6	325.285	325.285
7.61	327.305	327.305
7.62	327.824	327.824
7.63	327.195	327.195
7.64	325.906	325.906
7.65	328.802	328.802
7.66	328.876	328.876
7.67	328.644	328.644
7.68	331.228	331.228
7.69	328.336	328.336
7.7	335.42	335.42
7.71	331.721	331.721
7.72	329.988	329.988
7.73	325.896	325.896
7.74	329.279	329.279
7.75	329.681	329.681
7.76	331.552	331.552
7.77	329.01	329.01
7.78	333.55	333.55
7.79	334.478	334.478
7.8	333.116	333.116
7.81	330.714	330.714
7.82	332.414	332.414
7.83	328.467	328.467
7.84	333.118	333.118
7.85	333.042	333.042
7.86	331.631	331.631
7.87	330.552	330.552
7.88	332.575	332.575
7.89	331.18	331.18
7.9	329.964	329.964
7.91	329.614	329.614
7.92	330.026	330.026
7.93	335.191	335.191
7.94	331.547	331.547
7.95	331.086	331.086
7.96	332.523	332.523
7.97	332.084	332.084
7.98	332.55	332.55
7.99	329.432	329.432
8.0	335.565	335.565
8.01	330.915	330.915
8.02	327.93	327.93
8.03	334.85	334.85
8.04	336.291	336.291
8.05	332.092	332.092
8.06	333.731	333.731
8.07	330.666	330.666
8.08	329.703	329.703
8.09	330.959	330.959
8.1	327.452	327.452
8.11	330.871	330.871
8.12	335.132	335.132
8.13	330.609	330.609
8.14	330.31	330.31
8.15	331.168	331.168
8.16	337.039	337.039
8.17	331.241	331.241
8.18	333.256	333.256
8.19	336.862	336.862
8.2	336.569	336.569
8.21	333.423	333.423
8.22	333.8	333.8
8.23	335.241	335.241
8.24	335.194	335.194
8.25	338.127	338.127
8.26	332.728	332.728
8.27	334.715	334.715
8.28	333.904	333.904
8.29	332.926	332.926
8.3	330.553	330.553
8.31	331.681	331.681
8.32	330.727	330.727
8.33	332.156	332.156
8.34	329.668	329.668
8.35	334.29	334.29
8.36	332.327	332.327
8.37	332.844	332.844
8.38	335.049	335.049
8.39	329.613	329.613
8.4	331.452	331.452
8.41	328.93	328.93
8.42	330.385	330.385
8.43	330.975	330.975
8.44	327.532	327.532
