module_color,variant_id,sensitivity_family,top_n_hubs,scoring_method,label_strategy,coarse_cell_type,n_cells,mean_score,median_score,pct_cells_score_gt0,relative_score_within_module,baseline_top1_cell_type,n_variants_tested,n_variants_agree_top1,subject_timepoint_top1_cell_type,edge_decision,is_formal_edge
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.136959466885827,0.143277289985587,86.5329512893983,0.10070463804366167,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.348018981585765,0.341036644428116,98.8252569750367,0.8153342654594415,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.191542901117155,0.166299580759189,86.7961388738222,0.0,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.300750980545349,0.281373642273273,98.0127750177431,0.5690396190661553,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.383459378931853,0.384973216564132,99.2267236212296,1.0,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.330840964526437,0.321596168844301,99.7308137500336,0.725826489707565,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.286293954716144,0.276271369900088,98.5425571410892,0.49370984022786424,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
purple,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.303209223167695,0.308273686013115,96.8481375358166,0.5818485380831014,Myeloid,9,8,Myeloid,include_descriptive_context_edge,True
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.0896724974482682,0.0826886682956166,83.9941262848752,0.28495886656858066,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.0501369473613301,0.0349625352096071,61.6805786889259,0.0,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.102008800618833,0.0880315222197843,83.1795599716111,0.3738747653331192,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.173741136271902,0.164514292374776,93.6246908160767,0.8908971671731489,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.0626138809520445,0.0549824040387003,82.1152655522356,0.08992951524496623,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.138590247363438,0.110716545276431,90.1463154587946,0.6375414546509321,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
royalblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.188878199960407,0.188550648578503,95.1289398280802,1.0,Stromal_Endothelial,9,7,Stromal_Endothelial,exclude_instability_below_8_of_9,False
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.362977963464589,0.356317289510921,97.6505139500734,1.0,HSPC,9,9,HSPC,include_descriptive_context_edge,True
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.149174428156156,0.127482730836119,83.2359731775571,0.0,HSPC,9,9,HSPC,include_descriptive_context_edge,True
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.207712356685645,0.175407865648861,92.9737402413059,0.27379308038588873,HSPC,9,9,HSPC,include_descriptive_context_edge,True
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.199444244152456,0.190507785320808,96.0914086968267,0.23512153774155686,HSPC,9,9,HSPC,include_descriptive_context_edge,True
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.204984294210159,0.19654482286691,98.576004737678,0.26103341075951664,HSPC,9,9,HSPC,include_descriptive_context_edge,True
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.194404042829277,0.181142968732836,96.0446276428646,0.21154755279360915,HSPC,9,9,HSPC,include_descriptive_context_edge,True
turquoise,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.255876028237845,0.246051288314899,93.9828080229226,0.4990637780042377,HSPC,9,9,HSPC,include_descriptive_context_edge,True
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.240641106131165,0.230988750477401,95.7415565345081,1.0,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.137651344022666,0.108880133513674,82.0988513581622,0.0,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.209240461915599,0.191868240870968,94.9609652235628,0.6951090713027803,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.201624447442922,0.194496523860531,95.0463037220257,0.6211598328857268,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.226409641201916,0.224843086338926,97.8387335086035,0.8618167025742206,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.196881448433049,0.18640495100212,95.323997829543,0.5751067212679306,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
yellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.192704635651973,0.190781135669586,92.5501432664756,0.5345511097628203,HSPC,9,8,T_NK,downgrade_subject_timepoint_top1_discordance,False
