frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	butin_heavy_rmsd_after_protein_fit_nm	protein_butin_min_heavy_distance_nm	protein_butin_heavy_contact_pairs_le_0_40_nm	pocket_butin_min_heavy_distance_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_butin_com_distance_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2	protein_butin_hydrogen_bond_count	protein_butin_surface_sasa_nm2	butin_sasa_nm2
36	0.36	0.1004680478077931	0.0985927356043358	0.1022265935221051	0.0815600689378783	0.0890738793938368	0.2660414122361038	104	392	33	49	2.159477831488237	1.780182223657215	0.105150260735776	0.3009135203211693	45	0.3009135203211693	1	1	0.261996923484242	17.0	67.393	73.538	114.705	26.225999999999985	13.112999999999992	1.0	112.507	0.053
37	0.37	0.1070548650724378	0.1093152791283906	0.1048510307898529	0.0951427669386587	0.09202347424839	0.2689684784648122	93	362	29	46	2.1677976858717742	1.7841826987854144	0.0687057626899871	0.2670171462997307	43	0.2670171462997307	1	1	0.1951839378615614	13.0	66.742	72.216	112.211	26.747	13.3735	2.0	110.112	0.027
38	0.38	0.0953975839156187	0.1035641064164104	0.0868863017510665	0.0998487282534947	0.0793235197873427	0.2679293315584157	90	345	26	51	2.1532430793289947	1.779943137326417	0.0747958360892399	0.2922685378966212	56	0.2922685378966212	1	1	0.2557137716729721	15.0	64.618	74.442	114.06	25.0	12.5	2.0	112.05	0.0
39	0.39	0.1112479613466398	0.106791273619258	0.1153428417017125	0.0901912406406436	0.0901896043513163	0.2689497639757393	97	380	28	50	2.158460682612673	1.7756059933664088	0.1361516594872805	0.2757935421479781	49	0.2757935421479781	1	1	0.3006386848807528	12.0	64.56	72.772	111.051	26.28099999999999	13.140499999999996	1.0	109.207	0.0
40	0.4	0.1082358646019861	0.0973858604842496	0.1176659541138426	0.0851576545137521	0.0982506129208128	0.2616116513828895	99	302	24	45	2.189772263616632	1.7894362455211634	0.1879840840081891	0.2726126168939545	46	0.2726126168939545	1	1	0.2941756631823052	13.0	65.32	72.829	113.678	24.471000000000004	12.235500000000002	3.0	111.677	0.0
41	0.41	0.0901577523888383	0.0844916887570866	0.0952539715564253	0.081479863930752	0.0897352925660007	0.2670348771229271	84	330	27	45	2.1538332483652862	1.777621141098659	0.1265135850805947	0.2875744767089888	33	0.2917445964060529	1	1	0.2195865492918202	15.0	66.002	72.928	114.007	24.923	12.4615	2.0	111.966	0.027
42	0.42	0.0958231951371903	0.0991646947725634	0.0925199881202769	0.0950346993658441	0.082525409791406	0.26563316327987	88	325	25	47	2.1676129173171157	1.7896725730924203	0.1474612802580604	0.258375721324831	50	0.258375721324831	1	1	0.2579590016188403	13.0	66.912	73.74	113.973	26.678999999999988	13.339499999999994	3.0	112.074	0.0
43	0.43	0.0946370161753566	0.0886551949467411	0.1000154300089624	0.0842382855737703	0.0944024377448165	0.2661766915411785	77	319	26	49	2.184057776279442	1.7908696489990397	0.1610308355926794	0.2679590993175225	46	0.2896800500303092	1	1	0.2603841756083023	12.0	65.897	73.807	113.654	26.05000000000001	13.025000000000006	3.0	111.386	0.0
44	0.44	0.1020709790475828	0.0938229305640809	0.1093676448686964	0.0883441643988956	0.0995934215962843	0.2668141085297428	88	340	32	47	2.1415418057443114	1.776744966820259	0.167801575560643	0.2671950015090453	60	0.2671950015090453	1	1	0.2684049445396676	11.0	64.939	75.429	113.98	26.38799999999999	13.193999999999996	3.0	112.107	0.0
45	0.45	0.1093477053927507	0.09808925977497	0.1191087821992053	0.0882264949709834	0.1066708581187422	0.2619979591141004	89	364	26	48	2.161270022186427	1.78515011269495	0.1329402022178853	0.2956236962892581	47	0.2956236962892581	1	1	0.2149477521141334	13.0	65.912	75.524	116.718	24.718000000000004	12.359000000000002	3.0	114.731	0.033
46	0.46	0.0970346258649667	0.0922868241119958	0.1013607355427846	0.0850709033645845	0.0948851026869256	0.2628495375159868	104	368	32	49	2.133906658526347	1.7772347758685352	0.0935173100758199	0.2719228166123492	50	0.2719228166123492	1	1	0.2496921242328032	11.0	66.467	74.849	114.954	26.36200000000001	13.181000000000004	2.0	112.726	0.027
47	0.47	0.0915093059443646	0.0943170218159398	0.0887454829150732	0.0903635607073748	0.0860619835397434	0.2588898294349925	106	389	31	49	2.153094928034334	1.7796243841074126	0.0915060593056263	0.292747320210559	54	0.292747320210559	1	1	0.2360613670382538	12.0	65.081	73.391	113.796	24.676	12.338	2.0	111.793	0.0
48	0.48	0.0938318066588334	0.0935604355833217	0.094090195749394	0.0902853426870523	0.0889334095181983	0.2657705126911017	100	362	33	47	2.1815014512510067	1.7899676864293224	0.0547794356578138	0.2937016761749493	51	0.2937016761749493	1	1	0.2229598328756744	12.0	66.224	74.183	114.771	25.63600000000001	12.818000000000003	2.0	112.857	0.027
