case_id,display,series,x,value,x_unit,value_unit
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1500001,0.1539198,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1600001,0.1479705,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1700001,0.1450209,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1800001,0.1543405,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1900001,0.1426926,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.2,0.1538058,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.21,0.1624995,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.22,0.1608163,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.23,0.1694047,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.24,0.1548179,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.25,0.1571546,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.26,0.1625434,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.2700002,0.1680964,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.2800002,0.1684677,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.2900002,0.1628996,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3000002,0.16043,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3100002,0.1548098,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3200002,0.1606249,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3300002,0.1673144,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3400002,0.1681655,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3500001,0.1720339,ns,nm
