gene	subject	mean_deletion_recovery_shift	mean_overexpression_recovery_shift	bidirectional_score_min_of_arms	directionally_coherent	contrast_overexpression_minus_deletion
HIF1A	UPN13	-0.0301529821008443	0.0202759522944688	0.0202759522944688	True	0.050428934395313096
HIF1A	UPN14	-0.0045712608844041	0.0122067267075181	0.0045712608844041	True	0.0167779875919222
HIF1A	UPN17	-0.0523764826357364	-0.0038211906794458	-0.0038211906794458	False	0.0485552919562906
HIF1A	UPN18	-0.0055339159443974	-0.0194237008690834	-0.0194237008690834	False	-0.013889784924686
HIF1A	UPN19	0.0066431500017642	0.0147871961817145	-0.0066431500017642	False	0.0081440461799503
HIF1A	UPN2	0.0030575622804462	0.013435318134725	-0.0030575622804462	False	0.0103777558542788
HIF1A	UPN20	-0.0072182463482022	0.0104359909892082	0.0072182463482022	True	0.0176542373374104
HIF1A	UPN3	-0.0246969945728778	-0.0044938316568732	-0.0044938316568732	False	0.020203162916004602
HIF1A	UPN7	-0.0086603704839944	0.0180806685239076	0.0086603704839944	True	0.026741039007902
HIF1A	UPN8	-3.746896982192993e-05	0.0248652454465627	3.746896982192993e-05	True	0.02490271441638463
HIF1A	UPN9	-0.0168098378926515	-0.0049279620870947	-0.0049279620870947	False	0.011881875805556798
TOP2A	UPN1	-0.0684605464339256	0.0222500450909137	0.0222500450909137	True	0.0907105915248393
TOP2A	UPN10	-0.0350535251200199	0.0455471314489841	0.0350535251200199	True	0.080600656569004
TOP2A	UPN11	-0.027446910738945	-0.0189590919762849	-0.0189590919762849	False	0.0084878187626601
TOP2A	UPN12	-0.0331530943512916	0.0553685873746871	0.0331530943512916	True	0.0885216817259787
TOP2A	UPN13	-0.0864624083042144	0.0373900160193443	0.0373900160193443	True	0.1238524243235587
TOP2A	UPN14	-0.0149518521502614	0.0501668602228164	0.0149518521502614	True	0.0651187123730778
TOP2A	UPN17	-0.1109085828065872	0.0449201986193656	0.0449201986193656	True	0.1558287814259528
TOP2A	UPN18	-0.0328545682132244	0.0098889805376529	0.0098889805376529	True	0.0427435487508773
TOP2A	UPN19	-0.0103104170411825	0.019404487684369	0.0103104170411825	True	0.0297149047255515
TOP2A	UPN2	-0.0739398598670959	0.0129810664802789	0.0129810664802789	True	0.0869209263473748
