"candidate","gene","Z","p.adj","significant"
"CA2","NEXN",1.21275347276076,0.99999999994277,FALSE
"CA2","CLDN5",1.20542571823372,0.99999999994277,FALSE
"CA2","RGS18",1.1799980934482,0.99999999994277,FALSE
"CA2","ABCC3",1.17227179600186,0.99999999994277,FALSE
"CA2","KIF2A",1.11251364223155,0.99999999994277,FALSE
"CA2","AURKA",0.213783535278961,0.99999999994277,FALSE
"PARP1","PRSS57",4.08169909296368,0,TRUE
"PARP1","SMIM24",2.93195681889814,4.69756890392961e-23,TRUE
"PARP1","GYPC",2.46683558009684,4.43811557088325e-05,TRUE
"PARP1","CDCA7",2.43680112114441,0.000131770726419904,TRUE
"PARP1","RPS18",2.35700348589511,0.00221748500799555,TRUE
"PARP1","C1orf228",2.34857562631163,0.00251689223837547,TRUE
"PARP1","CD34",2.30342237773064,0.00891823736844609,TRUE
"PARP1","SPINK2",2.29443049260339,0.0102644787107238,TRUE
"PARP1","RPS6",2.264086998117,0.0211032155055174,TRUE
"PARP1","IMPDH2",2.2558215738193,0.0237458076270147,TRUE
"PARP1","ZFP36L2",2.22522479324279,0.0460101125591435,TRUE
"PARP1","PGF",1.76119246809491,0.999999999856525,FALSE
"PARP1","SELK",1.71296493786129,0.999999999856525,FALSE
"PARP1","TPM4",1.13223003578222,0.999999999856525,FALSE
"PARP1","AURKA",1.01030107202808,0.999999999856525,FALSE
"PARP1","CTTN",0.484065889838365,0.999999999856525,FALSE
"PARP1","RGS18",0.393524144750247,0.999999999856525,FALSE
"PARP1","F13A1",0.358956080851845,0.999999999856525,FALSE
"PARP1","CMIP",0.324773319703155,0.999999999856525,FALSE
"PARP1","KIF2A",0.319701105353342,0.999999999856525,FALSE
"PARP1","DAPP1",0.259717770508266,0.999999999856525,FALSE
"PARP1","NEXN",0.215691324779198,0.999999999856525,FALSE
"PARP1","CLDN5",0.163233976854983,0.999999999856525,FALSE
"PARP1","ABCC3",0.118919013391284,0.999999999856525,FALSE
"KIT","PRSS57",3.93880380738268,0,TRUE
"KIT","SMIM24",2.83392045901908,1.83320404051189e-22,TRUE
"KIT","GYPC",2.38804273846032,6.07195075899798e-05,TRUE
"KIT","CDCA7",2.36132129290217,0.000159869244696641,TRUE
"KIT","RPS18",2.28751315348958,0.00232259105379942,TRUE
"KIT","C1orf228",2.27700076482891,0.00285489258004171,TRUE
"KIT","SPINK2",2.23051419819712,0.00987657117848296,TRUE
"KIT","CD34",2.22977780723271,0.00987657117848296,TRUE
"KIT","RPS6",2.19259972172885,0.0251755612474826,TRUE
"KIT","IMPDH2",2.18314657838942,0.0293134160784904,TRUE
"KIT","ZFP36L2",2.15437863099045,0.0548243128743071,FALSE
"KIT","PGF",1.74860232387863,0.999999999897218,FALSE
"KIT","SELK",1.638060382692,0.999999999897218,FALSE
"KIT","TPM4",1.21278041939079,0.999999999897218,FALSE
"KIT","AURKA",0.897409115374722,0.999999999897218,FALSE
"KIT","CTTN",0.737684074610837,0.999999999897218,FALSE
"KIT","F13A1",0.714874177730656,0.999999999897218,FALSE
"KIT","CMIP",0.67597284983183,0.999999999897218,FALSE
"KIT","RGS18",0.655356514566456,0.999999999897218,FALSE
"KIT","DAPP1",0.652631947783248,0.999999999897218,FALSE
"KIT","NEXN",0.620661656156572,0.999999999897218,FALSE
"KIT","CLDN5",0.603374459179727,0.999999999897218,FALSE
"KIT","KIF2A",0.571457341437692,0.999999999897218,FALSE
"KIT","ABCC3",0.568017055040361,0.999999999897218,FALSE
"SYK","PRSS57",3.99561696070045,0,TRUE
"SYK","SMIM24",2.88202105641531,1.90748743450875e-22,TRUE
"SYK","GYPC",2.43785417100601,4.49743309199543e-05,TRUE
"SYK","CDCA7",2.40912803439694,0.000130239696877214,TRUE
"SYK","RPS18",2.34303337920939,0.00145436261196485,TRUE
"SYK","C1orf228",2.32502698997626,0.00233468877660008,TRUE
"SYK","CD34",2.28286720249411,0.00788272619290546,TRUE
"SYK","SPINK2",2.27456737609758,0.00897371614753691,TRUE
"SYK","RPS6",2.24597072049867,0.0181416792823913,TRUE
"SYK","IMPDH2",2.23879121511412,0.0200051263641267,TRUE
"SYK","ZFP36L2",2.20090984024914,0.0440385544870981,TRUE
"SYK","PGF",1.87755152660895,0.999999999946943,FALSE
"SYK","SELK",1.601987069893,0.999999999946943,FALSE
"SYK","TPM4",1.16487288257532,0.999999999946943,FALSE
"SYK","F13A1",0.652604907195222,0.999999999946943,FALSE
"SYK","DAPP1",0.622006097766278,0.999999999946943,FALSE
"SYK","CTTN",0.589936062653329,0.999999999946943,FALSE
"SYK","AURKA",0.575384171978543,0.999999999946943,FALSE
"SYK","CMIP",0.562969623923545,0.999999999946943,FALSE
"SYK","CLDN5",0.52661730557722,0.999999999946943,FALSE
"SYK","NEXN",0.491659346722641,0.999999999946943,FALSE
"SYK","RGS18",0.469512755494703,0.999999999946943,FALSE
"SYK","ABCC3",0.431370420337029,0.999999999946943,FALSE
"SYK","KIF2A",0.185339460763301,0.999999999946943,FALSE
"GSK3B","PRSS57",2.16519783743528,1.01792356704366e-06,TRUE
"GSK3B","TPM4",1.92262425882868,0.00296559213856868,TRUE
"GSK3B","F13A1",1.82175410265211,0.014922711493757,TRUE
"GSK3B","CTTN",1.80929006224614,0.0182981852805502,TRUE
"GSK3B","CMIP",1.79780983364518,0.021878375686846,TRUE
"GSK3B","NEXN",1.77572569435059,0.0304159068207254,TRUE
