"gene","distance","Z","FC","p.value","p.adj","candidate","significant","neg_log10_q","response_rank"
"RPS19",1.1007763269304e-08,1.77456088908172,10.8216900275674,0.0010031787619062,0.134325026978896,"TERT",FALSE,0.871843063532137,21
"RPS3A",1.098094326266e-08,1.77387625866676,10.7690209767285,0.00103213089845316,0.134325026978896,"TERT",FALSE,0.871843063532137,22
"SELL",1.09424251509463e-08,1.77289011091638,10.6936039861909,0.00107506566861231,0.134325026978896,"TERT",FALSE,0.871843063532137,23
"RPS5",1.09041378476939e-08,1.77190646072778,10.6189015393223,0.00111937522482413,0.134325026978896,"TERT",FALSE,0.871843063532137,24
"FKBP4",1.06629941671667e-08,1.76563145772007,10.1544234739335,0.00143955407857746,0.166102393682015,"TERT",FALSE,0.779624108936926,25
"RPL12",1.04817672736609e-08,1.76082243342213,9.81219009630977,0.00173358938467333,0.192621042741481,"TERT",FALSE,0.71529627044454,26
"RPS28",1.04313723487714e-08,1.75947052538601,9.71806553460212,0.00182465471175175,0.19402517049609,"TERT",FALSE,0.712141926263211,27
"RPL10A",1.04041915589375e-08,1.75873867946506,9.66748723097114,0.00187557664812887,0.19402517049609,"TERT",FALSE,0.712141926263211,28
"RPL36",1.02180578825886e-08,1.75367555737038,9.32467372898883,0.00226088574162207,0.226088574162207,"TERT",FALSE,0.645721385039378,29
"RPL3",1.00087400847072e-08,1.74787154963436,8.94655323079675,0.00277993618923394,0.269026082829091,"TERT",FALSE,0.570205611894966,30
"ZFAS1",9.8696884992287e-09,1.74394908499879,8.69969084456267,0.00318264024224497,0.29693398899847,"TERT",FALSE,0.527340087383359,31
"CCND1",9.81949653945894e-09,1.7425197832714,8.61143188134503,0.0033405957562815,0.29693398899847,"TERT",FALSE,0.527340087383359,32
"RPL7",9.81185765848677e-09,1.74230161916616,8.59803891031093,0.003365251875316,0.29693398899847,"TERT",FALSE,0.527340087383359,33
"TTK",9.70202900145042e-09,1.73914622140723,8.40663254379561,0.00373854514765867,0.320446726942171,"TERT",FALSE,0.494244159961373,34
"NPM1",9.67159151026637e-09,1.7382654874208,8.35396821311226,0.00384845935040134,0.320704945866778,"TERT",FALSE,0.493894342391213,35
"ITM2C",9.55910504762197e-09,1.73498661685558,8.16077485005004,0.00428060790709627,0.333214210962889,"TERT",FALSE,0.477276485022883,36
"MANF",9.54670293898727e-09,1.73462277219372,8.13961279364255,0.00433085309537892,0.333214210962889,"TERT",FALSE,0.477276485022883,37
"RPS14",9.52771311945134e-09,1.73406475394235,8.10726318607,0.00440882409753009,0.333214210962889,"TERT",FALSE,0.477276485022883,38
"RPL34",9.49856156891704e-09,1.73320598580606,8.05772816529083,0.00453099629788904,0.333214210962889,"TERT",FALSE,0.477276485022883,39
"RPS23",9.49316945303355e-09,1.73304685492464,8.04858238644116,0.00455392754982615,0.333214210962889,"TERT",FALSE,0.477276485022883,40
"RPS3",9.41773326725969e-09,1.73081116804106,7.92117667138093,0.0048859485169378,0.348996322638414,"TERT",FALSE,0.457179149161905,41
"RPL13",9.36522521710171e-09,1.72924450808089,7.83309474226047,0.00512981950646818,0.357894384172199,"TERT",FALSE,0.446245116201111,42
"HPSE",9.28928365555211e-09,1.72696322083758,7.70657442553964,0.00550200629992343,0.372153593934551,"TERT",FALSE,0.429277782614855,43
"TGFB1I1",9.27350999979976e-09,1.72648706446245,7.68042436953954,0.00558230390901826,0.372153593934551,"TERT",FALSE,0.429277782614855,44
"RBPMS2",9.20407841870467e-09,1.72438156925137,7.56584688802085,0.00594846962611568,0.387943671268414,"TERT",FALSE,0.411231328615136,45
"HSH2D",9.14806075403952e-09,1.72267135509511,7.47403294874423,0.00625951775743979,0.399543686645093,"TERT",FALSE,0.398435727409816,46
"RPL22L1",9.00473060664902e-09,1.71824785129887,7.24166410803241,0.00712309302236263,0.445193313897664,"TERT",FALSE,0.351451366707398,47
"CDK6",8.87997160406177e-09,1.71434037978323,7.04239015545117,0.00796027305914481,0.487363656682335,"TERT",FALSE,0.312146859826729,48
"GOLGB1",8.66186405386449e-09,1.70737680477232,6.70069197558512,0.00963755010375002,0.578253006225001,"TERT",FALSE,0.237882100738864,49
"RP11-620J15.3",8.54611032755787e-09,1.70361026380012,6.52279782867544,0.0106500332457299,0.617586436937464,"TERT",FALSE,0.209302250282257,50
"RPS9",8.54012903747448e-09,1.70341426719589,6.51367061370489,0.0107048315735827,0.617586436937464,"TERT",FALSE,0.209302250282257,51
"CNN2",8.41448270074119e-09,1.69926533493721,6.32341625829728,0.0119153854319522,0.674455779167108,"TERT",FALSE,0.171046519666327,52
"RPL26",8.333880484728e-09,1.69657137435386,6.20285263821763,0.0127544587199215,0.703321215996974,"TERT",FALSE,0.152846281702987,53
"GSN",8.32091342657564e-09,1.69613557031716,6.18356506226627,0.0128942222932779,0.703321215996974,"TERT",FALSE,0.152846281702987,54
"EIF3E",8.23076789087299e-09,1.69308719591484,6.05031013776169,0.0139038545505164,0.729874209187302,"TERT",FALSE,0.136751982294898,55
"RPL29",8.23063456660835e-09,1.69308266296873,6.05011413014066,0.0139053980655027,0.729874209187302,"TERT",FALSE,0.136751982294898,56
"PYCARD",8.21112479783107e-09,1.69241855753083,6.0214659302822,0.0141329027998828,0.729874209187302,"TERT",FALSE,0.136751982294898,57
"FHL2",8.1924120753412e-09,1.69178011391811,5.994051993688,0.0143541927806836,0.729874209187302,"TERT",FALSE,0.136751982294898,58
"VWF",8.11175302892538e-09,1.68901155050075,5.87660319592442,0.0153433948733947,0.767169743669735,"TERT",FALSE,0.115108533595982,59
"RPL14",7.96815014068264e-09,1.68401434309718,5.67037714201535,0.0172537462836976,0.842014893348174,"TERT",FALSE,0.0746802267405813,60
"CALD1",7.94322417144646e-09,1.68313787691341,5.63495647991692,0.0176057824330624,0.842014893348174,"TERT",FALSE,0.0746802267405813,61
"RPS25",7.93786331216628e-09,1.68294901849204,5.62735301453054,0.0176823127603117,0.842014893348174,"TERT",FALSE,0.0746802267405813,62
"EEF1A1",7.89455618974471e-09,1.68141869962424,5.56611747566616,0.0183113194461326,0.847051195094805,"TERT",FALSE,0.0720903404659095,63
"SH3BP5",7.88968408725137e-09,1.68124601712577,5.5592493690702,0.0183832948107925,0.847051195094805,"TERT",FALSE,0.0720903404659095,64
"BANK1",7.87276768064592e-09,1.68064562625305,5.53543556293587,0.0186351262920857,0.847051195094805,"TERT",FALSE,0.0720903404659095,65
"RPL7A",7.84487543040293e-09,1.67965289024373,5.49628230513175,0.0190569470802995,0.853296137923858,"TERT",FALSE,0.0689002200091671,66
"RPL11",7.76808011889507e-09,1.67690144307865,5.38920023527275,0.0202617552819192,0.890598940404193,"TERT",FALSE,0.0503178259091365,67
"KCNAB2",7.74974381280841e-09,1.67624050190993,5.36378819132812,0.0205590680080393,0.890598940404193,"TERT",FALSE,0.0503178259091365,68
"SPX",7.71944363968071e-09,1.67514491689625,5.32192719700974,0.0210587086101996,0.890598940404193,"TERT",FALSE,0.0503178259091365,69
